Nr,Beginregel
72,Vanwaar de zon opgaat
73,Wat een plezier heeft het meisje
74,Heer, we zijn hier saamgekomen
75,Wie lof offert, eert Mij
76,Maar Gij, Heer, zijt een schild dat mij dekt
77,Wij zijn allen hier bijeen in Jezus' naam
78,Halleluja, looft God in zijn heiligdom
79,Tot U, o Heer, hef ik op mijn ziele
80,Ik zal opgaan naar Gods huis
81,Waardig, waardig, waardig
82,Komt, laat ons zingen vandaag
83,Hij, die gelooft
84,Hij wordt mij liever ied're dag
85,Eenmaal zullen wij de Koning zien
86,Zing en speel tot eer van Hem
87,Alle kind'ren mogen komen
88,Een rivier vol van vrede
89,Als ik mij herinner wat Hij deed voor mij
90,Daarginds ver in de hemel
91,Jezus houdt van alle kleine kinderen
92,Geef mij olie in mijn lamp
93,Jezus overwon de dood
94,Heel mijn leven wil ik wijden
95,Als j' een echte christen bent
96,Ik vouw mijn handen, Heer
97,De vensters des hemels zijn open
98,Eens was ik onverschillig
99,Volgen wil ik U, o trouwe Heer
100,Hohohohosanna
101,Ik ben zo blij, dat 'k een kind
102,Amen, prijs de Heer
103,David met zijn slinger
104,Weet je wel, o christen
105,Alles wat ik heb
106,Gezegend Hij, die komt
107,Kind'ren van Jezus
108,Prijst Hem, prijst Hem. Prijst Hem in de morgen
109,Wij zingen van Jezus
110,Jezus roept mij, ik zal volgen
111,U houdt uw hand, grote God op deez' aard
112,'k Ben zo gelukkig
113,Al moet ik door het druk verkeer
114,Looft de Heer, want Hij is goed, trouw
115,Heilig, heilig, heilig is de Heer onze God
116,Jezus, naam boven alle naam
117,In het midden der gemeente
118,Vader, maak ons één
119,Ik zal U loven, Here
120,Ik verhoog U/Want U, o Heer, bent God, de Allerhoogste
121,De Here is mijn herder
122,Ik vermag alle dingen
123,Groot is uw trouw
124,Ik bouw op U
125,Heer, ik kom tot U, hoor naar mijn gebed
126,Jezus vol liefde
127,Wij eren en aanbidden U
128,In my life
129,Ruach
130,Wij prijzen U als Here
131,U komt de eer en glorie toe
132,Verhoogt de Here, onze God
133,Hoe lieflijk is uw woning
134,De Heer is mijn licht, mijn burcht en mijn redder
135,Halleluja, halleluja, Hij regeert
136,Abba, Vader, U alleen
137,King of kings and Lord of lords
138,Kom maar, wees blij en verheugd
139,In moments like these
140,Hemelse Vader, wat een liefde bent U
141,Hij is de Zoon van God
142,'k Vertrouw op U
143,De Heer, uw God, in uw midden
144,Want uit Hem en door Hem
145,U zal ik loven, Heer
146,Immanuël, Immanuël
147,Father, we love You
148,Gods volk wordt uitgeleid
149,Heer, U riep mij
150,Ik hou van U
151,Laat ons juichen
152,O komt, prijst de Heer
153,Prijst de Heer, want de Heer is goed
154,Weest stil en weet
155,Hij is de Almachtige
156,Ik wil zingen van mijn Heer
157,Ik verblijd mij zeer in de Heer
158,Gij zijt mijn God
159,Here der heren
160,Don't build your house
161,Heer, geef mij ook uw waterbronnen
162,'k Zal U loven, o Heer
163,O, Heer, U bent groot en almachtig
164,O, komt, aanbidt
165,Omdat we in U geloven
166,U bent de grote Koning
167,Samen in de naam van Jezus
168,Wij zien Jezus nu gekroond
169,Ik leef omdat mijn Heer is verrezen
170,Jezus, Jezus, uw liefde raakte mij aan
171,Door mijn God zal 'k strijdend
172,Heer, ik verheug m'in U en ik juich
173,Heilig is de Heer
174,Juicht, want Jezus is Heer
175,In de stilte van mijn hart
176,U bent mijn schuilplaats Heer
177,Bedenk al wat waar is
178,Waardig, o waardig bent U, Heer
179,'k Hef mijn roep tot U, o Heer
180,Bron van licht en leven
181,Majesteit
182,O, Heer, U bent mijn God
183,U mag ik kennen o Heer
184,Wie op de Heer vertrouwen
185,Jezus is de Heer, Koning voor altijd
186,Hoe lieflijk op de bergen
187,Open mijn ogen, 'k wil Jezus, mijn Heer zien
188,Laat de heerlijkheid des Heren
189,Zegen ons Heer
190,Waarlijk, mijn ziel
191,Kom en prijs de Here, onze God
192,Ik kom in uw heiligdom binnen
193,Toon ons uw macht, o God
194,U maakt ons één
195,U, o Heer, bent een schild
196,Zing een lied tot de Heer
197,Heer, U bent wonderschoon
198,Laat ons loflied voor U zijn als reukwerk
199,Eer aan het Lam
200,Geloofd zijt Gij, o Heer
201,Wij danken U, Heer God almachtig
202,De Heer leert hoe ik strijden moet
203,Ik wil U prijzen Heer
204,Maak mij zoals U, Heer
205,U Heer, bent wonderschoon
206,Dank U Jezus, dank U Jezus
207,Welzalig Hij, wiens God de Here is/Mijn God, ik zal U verhogen
208,En ik zag en hoorde een stem
209,Zing halleluja en hef in geloof
210,Wie is aan U gelijk
211,O, die zaal'ge vreugd
212,Ziet de dag is daar
213,U zij de glorie opgestane Heer
214,Ik wandel in het licht met Jezus
215,De Heer is mijn herder en geen ding
216,Staand' op de beloften
217,O, welk een wond're Verlosser
218,Is hier een hart, door vrees benard
219,Juicht, aarde! Juicht alom de Heer
220,Volle verzeek'ring, Jezus is mijn!
221,Prijst de Heer met blijde galmen
222,Doorgrond mijn hart
223,Jezus, uw naam zij d'hoogste eer
224,Komt, laat ons zingen al te zaam
225,Verblijdt u in Jezus, uw Heer
226,Ik wil zingen van mijn Heiland
227,O heilig Lam van God
228,Wij zijn hier bijeen in Jezus' naam
229,O, geeft aan de Heer
230,Want Ik maak Mij een geest'lijke tempel
231,Als wij zingend komen voor zijn majesteit
232,Lof, eer, aanbidding voor U, Heer Jezus
233,Koning Jezus, heers
234,Komt nu zijn poorten met dankzegging binnen
235,'t Is nu het uur
236,Heilig, heilig, heilig, Here God almachtig
237,Jezus, wij verhogen U
238,U bent waardig, dat wij U prijzen
239,Kom, Leeuw van Juda en Gods Zoon
240,Hosanna, hosanna, de Koning komt
241,Zing tot de glorie van God
242,Met vreugde zal ik tot U zingen Heer
243,Jezus is Heer, je ziet het om je heen
244,Welzalig de man, die niet wandelt
245,Hier in uw heiligdom
246,Koning Jezus, prijst Koning Jezus
247,Shalom, shalom, shalom
248,God is getrouw, zijn plannen falen niet
249,Heer, wat een voorrecht/Samen werken
250,Hosanna, Zoon van David/Zingt Gode, psalmzingt zijn naam
251,Zing een vrolijk liedje voor Immanuël
252,Heer, doorgrond mijn hart
253,Heilig, heilig, heilig Heer
254,Prijs nu de Heer
255,'k Wil U prijzen Heer
256,Jezus Christus, ik aanbid U
257,Uw lieflijk aangezicht
258,Blijdschap vervult mijn hart vandaag
259,Want zijn naam is verheven
260,Het is volbracht
261,Abba Vader
262,Sta op, o kind'ren van Israël
263,Er is een Verlosser
264,Waardig is het Lam, alle lof
265,Groot is de Heer en machtig
266,Heer, U leidde mij in de wildernis
267,Groot is de Heer, Hij is heilig en goed
268,Hij kwam bij ons, heel gewoon
269,Baruch ha-Shem Adonai
270,Wie is God behalve onze Heer?
271,Want U bent machtig
272,Ik dank U wel, mijn Vader
273,Lofoffers brengen wij aan U
274,God is goed, komt, zingt en jubelt
275,Wij zijn hier gekomen
276,Laat heel de wereld het zien
277,Machtig God, sterke Rots
278,Juicht de Here, gij ganse aarde
279,Ik wil zingen halleluja
280,Majesteit, wij eren U, Majesteit
281,Als een hert dat verlangt naar water
282,'k Zegen U, Heer
283,Eer aan de Vader
284,Maak groot de Here
285,Ik hou van U, o Heer
286,Zing een vreugdelied
287,Prijs Hem, prijs Hem, geef Hem dank en eer
288,Hef je hoofd omhoog
289,U hebt de overwinning behaald
290,Hemelse Vader, hoor, wij eren U
291,Vader God, ik ben vol lof
292,Laat mijn leven tot eer zijn van uw naam
293,Bereidt de weg van de Heer
294,Glorie, glorie, glorie aan het Lam
295,Geef eer aan God in de hoge
296,U bent waardig, Heer Jehova
297,Wat geen oog heeft gezien (van Engelenhoven)
298,Hosanna, hosanna, hosanna in de hoge
299,Wees blij, want Hij, Koning Jezus
300,De aard' is van God en al wat daarin is
301,Wij verklaren: Gods Koninkrijk is hier
302,Uw naam is als balsem voor 't hart
303,Jezus, ik houd van U
304,Halleluja, Adonai
305,Wees stil en weet, dat Hij is uw God
306,Ons leven is uit God
307,Verblijdt u, zonen Gods
308,O laat Gods Zoon je thans omhullen
309,Geef Hem nu glorie en lofprijs en ere
310,U bent het lied van mijn hart
311,'k Heb geloofd en daarom zing ik
312,Mildheid en majesteit
313,In een donker graf gevangen
314,Geprezen zij de Heer voor zijn liefde en kracht
315,Heer, uw bloed dat reinigt mij
316,Bij uw rivier wil ik komen, o Heer
317,Ik zal mijn water gieten
318,Eet het brood met Mij
319,Veni Creator Spiritus (van Setten)
320,Ere zij aan God, de Vader
321,Jubel, jubel dochter Sions
322,De Heer is mijn kracht en mijn lied
323,Aan Hem die zit op de troon
324,Ik wil komen en knielen aan uw voeten
325,O, de glorie van uw wezen
326,Ik verhoog uw naam
327,Jezus, ik hou van U (Del Hierro)
328,Heer, ontferm U over ons
329,U bent Heer van de schepping
330,Gods bazuinen klinken luid
331,Breng dank aan de Eeuwige
332,U, o Heer, bent de Allerhoogste
333,Heer, U bent El Elohim
334,Heer, uw licht en uw liefde schijnen
335,U bent waardig te ontvangen
336,Heilig, heilig, heilig is de Heer
337,Mijn hoop is op U Heer
338,U bent mij zo kostbaar o Heer
339,O, kom nu en jubel
340,Vader, U bent mijn erfdeel voor altijd
341,Open je hart
342,Meer liefde, meer kracht
343,Heilige Geest van God, vul opnieuw mijn hart
344,De Here bouwt aan Jeruzalem
345,Jezus het Lam, Jezus het Lam
346,Maak ons tot een stralend licht
347,Ik geloof in God de Vader, Schepper, die de schepping draagt
348,Heer van mijn hart
349,Hij is verheerlijkt
350,Vader, vol van vrees en schaamte
351,Jezus geeft een loflied in ons hart
352,Christus, onze Heer, verrees
353,Kom met uw genade, Heer
354,Glorie aan God
355,U die mij geschapen hebt
356,Heer, ik wil U prijzen
357,Lof zij de Heer, die ons doet triomferen
358,Uw tederheid genas
359,De hemel juicht
360,Dit is heil'ge grond
361,Als David dans ik uit alle macht
362,Baruch Ha Ba B'Shem Adonai
363,Kom laat ons buigen voor de Heer
364,Prijs onze Heer
365,'k Aanbid U, Heer, almachtig God
366,Kroon Hem met gouden kroon
367,Als God zijn stem doet horen in Israël
368,Hoor, o Israël
369,Door uw genade, Vader
370,Een vaste burcht is onze God
371,Heer, U gaf aan mij uw vreugdeolie
372,U verzadigt mij met uw liefde, Heer
373,Voor de allerhoogste Heer
374,Met hemelse wapens
375,De Heer regeert
376,Maak ons een leger, o Heer
377,Wat de toekomst brengen moge
378,Ik wil jou van harte dienen
379,Heerlijk is uw naam
380,Koning van Sjaloom
381,De zaligheid is van God
382,O Heer, de nacht komt over ons
383,Geest van hierboven, leer ons geloven
384,De dag, door uwe gunst ontvangen
385,Mijn vrede laat Ik u
386,Lof zij de Heer, de almachtige Koning der ere
387,Groot en machtig is Hij
388,De woestijn zal bloeien als een roos
389,Create in me a clean heart
390,Ik belijd: ons land heeft gezondigd
391,Welkom, Heil'ge Geest van God
392,Mijn Jezus, ik hou van U
393,Lam van God, Heilige
394,Genade en vrede zij u van de Vader
395,Zing met luid gejubel
396,Het Feest / Hoor de bazuin, de hemel zingt!
397,Jezus woont in mijn hart
398,Leid mij naar uw heiligdom
399,Vader God, ik vraag me af
400,Liefde was het
401,Koning Jezus, wij verhogen U
402,Vader, Zoon en Geest
403,Kom en help ons oogsten
404,Wij gaan op weg
405,Er is maar één God
406,In uw naam komen wij
407,O, Heer mijn God, wanneer ik in verwond'ring
408,Israël, verheug u in uw maker
409,Heel mijn hart jubelt voor de Heer
410,O, maak de Heer nu groot met mij
411,Geprezen zij de Here
412,Komt tot Mij
413,Hoe kom ik van zonde vrij?/Leid mij naar het kruis van Jezus
414,U zond uw Zoon, onschuldig, rein
415,Toon je dank aan de Heer
416,Jezus is Koning over de aarde
417,Heer, U draagt de hoogste kroon
418,Als ik opzie naar uw heiligheid
419,U bent God en wij prijzen U
420,Geen andere naam
421,Ja, ik wil U volgen
422,U wil ik kennen
423,Ik zing en juich voor mijn verlosser
424,Ik wil zingen voor de Koning
425,Er is geen grens
426,Ja, ik geloof in Jezus
427,Dwars door het vuur/ Maak mij rein voor U
428,Genade, zo oneindig groot
429,God wijst mij een weg
430,Heer, ik prijs uw grote naam
431,Laat een loflied op je lippen zijn
432,Kom en prijs
433,Groter is Hij die in mij is
434,Tot zijn eer en heerlijkheid
435,Heer, uw koninkrijk breekt baan
436,Onze Vader (Marcel Zimmer)
437,Verhoog de Here God
438,Ik buig neer
439,Machtig is de naam van de Heer
440,Machtig zijn al uw daden, Heer
441,De kracht van Jezus
442,Prijst Hem, prijst Hem
443,Voor eeuwig dankbaar/U wachtte niet op mij, want ik dwaalde af
444,Heel mijn ziel roept naar U
445,Bron van levend water
446,Daar is kracht/Wilt u van zonde en schuld zijn verlost
447,Ik ben vrijgekocht
448,Hij, die de Zoon bevrijdt
449,'k Ben zo blij
450,Laat uw kracht zien/Jezus regeert op zijn eeuwige troon
451,Ik hef mijn ogen
452,Kom, o Heil'ge Geest van God
453,Jezus, Jezus, heilige gezalfde Heer
454,Eeuwige God/Zegen, aanbidding
455,Wij gaan door over grenzen
456,Niet de macht van wapenen
457,Kom prijs de Heer
458,De Heer is hier in glorie en luister
459,"Daar bij de rivier/Levend water, verfrissend, vrij,"
460,Wat mij dierbaar was
461,Juich voor de Heer/Mijn Jezus, mijn redder
462,Aan uw voeten Heer
463,Vader, daal nu met uw Geest neer
464,Wees stil voor het aangezicht van God
465,Ik prijs U Heer, God van 't heelal
466,Wandel in het licht
467,Zend uw vuur/Wij zijn zout en wij zijn licht
468,Wij willen dat Jezus wordt verhoogd
469,Halleluja, Jezus Christus leeft!
470,Omdat U zoveel van mij hield/Heer, als ik denk aan wat U voor mij deed
471,Heer, raak mijn hart aan
472,Geloof, hoop en liefde/Blaas met de adem van uw Geest op ons
473,Dansend over de gouden straten/Zing een heerlijk lied van vreugde
474,Niemand is als U
475,Majesteit, Koning in eeuwigheid
476,O, wat een machtige God
477,Jezus, wij vieren dat U overwon
478,Speel nu luid op de trompet
479,Wij zijn meer dan overwinnaars
480,U stierf voor mij, mijn Jezus
481,Ik aanbid U
482,De Heer onze God: Hij is Koning
483,O zie, de Heer zit op zijn troon
484,Ik wil altijd zijn waar U bent
485,Wij doorbreken elke muur/Er is een plaats waar de Heer ons zegent
486,Ga dan in zijn naam/Wij zijn Gods kind'ren
487,O Heer, giet een stroom
488,Heer, ik kom tot U, neem mijn hart
489,U bent Vader van de schepping/Wij willen U ontmoeten
490,Luid gejuich en jubellied vervullen het huis
491,Kom, wees blij in de Heer
492,Groot is de luister van Jezus/Wie kleurt de zon als de dag openbloeit
493,Jezus, wat een heerlijke naam
494,Uw liefde heb ik lief/Soms als ik uw liefde voel
495,Hemelse Vader, door uw genade
496,Kadosh / Heilig
497,Ik wil leven door uw Geest
498,Alleen door U/Er is een stad met gouden straten
499,Hij komt in majesteit/Zie het Lam van God: Hij nadert
500,Heer, ik prijs uw naam
501,Laat uw vrede heersen/Vader, mijn God, ik aanbid U
502,Jezus, ik wil heel dicht bij U komen
503,Overvloedig geef Ik u / Vrede zij u(overvloedig)
504,Roep het luid/Hoor, een roep klinkt wereldwijd
505,Toon uw heerlijkheid/Vader van de schepping
506,Zing het lied van het Lam/Ik zing van het Lam
507,'t Is goed om U te ontmoeten
508,God is zo groot
509,Zo lief had God de Vader ons
510,Dit is mijn verlangen/ Ik geef U mijn hart
511,Heer van genade/Maak mijn hart vol van uw heerlijkheid
512,Wij verhogen U
513,Halleluja, halleluja, halleluja/ De almachtige God
514,I went to the enemy’s camp
515,Can you believe
516,Look what the Lord has done
517,Gezegend zijn zij
518,Heer, U bent altijd bij mij/Heer, U doorgrondt en kent mij
519,Ik vertrouw op U
520,Wees mijn verlangen
521,Ik ren naar U toe/U zorgt voor heel de schepping
522,Er komt een tijd van grote opwekking/Vader, stort uw Geest uit
523,De sterre gaat stralen/Laat ieder het horen
524,Het licht verschijnt/Als 's morgens de zon opgaat
525,Jubel het uit
526,Goed nieuws, goed nieuws
527,Licht in de nacht
528,Hoor, de engelen zingen de eer
529,Komt, laten wij aanbidden
530,Bewijs nu eer aan Jezus’ naam
531,Immanuël, o Immanuël
532,Wees gerust
533,Eén klein kind
534,Jezus, Gods heerlijkheid verschijnt
535,In het stro van een geleende kribbe
536,Kind van het licht (Zuiderveld)/Hoe lang heeft de mensheid gebeden
537,Ere zij God, ere zij God
538,De Koning komt, dit is het uur
539,Kom, nu is de tijd: aanbid Hem
540,Kom, laten wij aanbidden/Hij mat de wateren met zijn hand
541,Alles is mogelijk/Almachtig God die mij bevrijdt
542,God van trouw
543,U bent de Heer die ik dien/U maakte mij tot een ander mens
544,Meer dan ooit/Meer dan rijkdom, meer dan macht
545,Op dat moment/Jezus, Heer, wanneer ik aan uw offer denk
546,Nabij Gods hoog verheven troon
547,Vrolijk lied/Ik kan wel blijven zingen
548,Hart van aanbidding/ De muziek vervaagt
549,Ik kniel neer en belijd
550,Liefdevol trekt U mij dicht aan uw hart
551,Ik zie uit naar de dag
552,Herstel ons land/Als mijn volk zich vernedert voor Mij
553,Hoor ons loflied/Laat het feest zijn in de huizen
554,Mijn verlosser leeft/Ik weet: Hij heeft mij gered
555,Ik geloof in het bloed van Jezus
556,Prijst God die ons het leven geeft
557,Laat uw glorie zien
558,Voor uw grote naam /Wij zijn als adem, U was er altijd
559,Schijn met uw licht in mijn hart, Heer
560,Mijn eerste liefde doet vuur oplaaien
561,Nederig van hart/Hier aan uw voeten, Heer
562,Voor altijd mijn vriend/U noemde mijn bij mijn naam
563,I have a light
564,Ik loop de wedloop die voor mij ligt
565,Geest van God, blaas op mij
566,Machtig Heer/Ik verlang naar uw aanwezigheid
567,Jezus, Jezus, Heiland, Redder
568,Vier nu feest, geef Hem eer
569,Regeer in mij/Over al wat leeft, bent U de hoogste Heer
570,Dit is de tijd van Elia
571,Dit is de dag die de Heer ons geeft (Fitts)
572,Als wij samenkomen
573,U bent welkom/We zijn hier bij elkaar
574,Groot is Hij
575,Jezus alleen, ik bouw op Hem
576,Immanuël/Als wij samen U aanbidden
577,Jezus, allerhoogste naam
578,U redde mij en riep mijn naam
579,Dank U, dank U voor uw kostbare bloed
580,Ik ben zo dankbaar/Jezus, Hij kwam om ons leven te geven
581,Til mij op/Ik wil heel dicht bij U zijn
582,Jezus, alles geef ik U
583,Machtige Heer en God
584,Heilig is de Heer onze God/ Zo machtig, zo waardig
585,Er is een dag
586,Hij is Heer/Heel de schepping geeft U eer
587,U geeft een nieuw lied/Ik was verloren, maar U redde mij
588,Er is geen vriend zo trouw als Jezus
589,Ik wil juichen voor U, mijn Heer
590,O mijn ziel, sta op en prijs je maker
591,Ik zie de Heer
592,God van licht, schijn in mij
593,Lam van God, o, heilig Lam van God
594,Uw naam is heilig/U bent 'Ik ben' op de troon
595,Licht van de wereld
596,Doordrenk mij, Heer/Uw liefde, stralend als de zon
597,Uw liefde is zo prachtig
598,Uw sterke hand/Machtige Heer, grote Verlosser
599,Kom tot de Vader/Nog voordat je bestond
600,Open mijn ogen voor de schoonheid van uw schepping
601,Deel door ons uw liefde uit
602,Vrede van God
603,Vier nu feest, want God is goed/Ruil nu je rouwkleed in
604,Kom en laat ons prijzen
605,Geef ons een lofgewaad, Heer
606,Veilig, veilig, veilig rustend in uw armen, Heer
607,Machtige Redder/Elke dag wil ik zingen van uw liefde
608,Waai met uw Geest, Heer
609,U bent heilig
610,Als gebed de hemel raakt/Wij staan voor uw troon
611,Niet door kracht
612,En ik kom tot U/In uw aanwezigheid
613,Geliefde, Gezegende
614,Uw genade is mij genoeg/Zie, hoe Jezus daar loopt in Jeruzalem
615,Waardig is het Lam/Dank U voor het kruis Heer
616,Houd me dicht bij U
617,Hij kent mijn naam/Een machtig Maker
618,Jezus, hoop van de volken
619,Sta op en prijs Hem!//Kom nu hemel, wees blij
620,Voor eeuwig/Prijs God de Heer die ons leven is
621,U bent mijn anker
622,Groot is de Heer God Almachtig
623,Laat het huis gevuld zijn
624,Wees genadig (Merkel)//De woorden die U sprak, Heer
625,Wat een liefde/Bij U ben ik thuis
626,Prachtige God/Eindeloos, zo eindeloos
627,Jezus, licht in de duisternis
628,Een hoop die zeker is
629,Als er vergeving is/Hoe kan ik verder leven
630,Vader, U bent goed/Op elk moment van mijn leven
631,U zei: 'Vraag en je zult ontvangen'
632,Wij zijn het leger van God
633,Agnus Dei (Halleluja)/Halleluja, halleluja, want de Heer God Almachtig regeert
634,U bent heilig en rechtvaardig
635,Wij zijn bij elkaar om U te eren
636,Alleen een God als U//Eer en glorie van de mens
637,Erken nu de Heer
638,Prijs Adonai/Wie is als Hij
639,Ik heb U lief
640,Mijn hulp is van U, Heer/Ik hef mijn ogen op naar de bergen
641,U heeft mij voor Uzelf gemaakt
642,De Rivier/Al mijn zonden, al mijn zorgen
643,Al voor mijn leven is ontstaan
644,Ik schaam mij niet
645,Ik kies vandaag: ik leef voor U
646,Heer, zie uw huis (Psalm 74)
647,Toen U bad werd brood vermeerderd /Liefde, tastbaar
648,Levende offers/U roept ons, Vader
649,Bouw uw Kerk/Jezus, onze Schepper God
650,Daarom komt er nooit een eind/Voor uw schoonheid, ons getoond
651,Er is een rots/U bent het licht in deze tijd
652,Zing voor de Koning
653,Kom, o bron van zegeningen
654,De vreugde van U is mijn kracht/Dank U voor deze nieuwe dag
655,Ik prijs U met mijn dans/Ik wil zingen voor de Heer
656,Ontwaak, verhef je stem
657,Zie het kruis/Zie, de dag breekt aan
658,Jezus, uw naam
659,Jezus, stralend licht
660,U bent welkom in dit huis/Bron van leven, stroom van zegen
661,De Koning in zijn pracht/Maak groot onze God
662,God regeert/U bent heilig, heilig Heer
663,Het gaat steeds om U/Jezus, redder van mijn ziel
664,Wij buigen neer/Rijken en armen
665,Tot aan die dag/Ooit komt er een dag
667,Spreek tot de volken/Hoor het geluid
668,Heer, U bent goed
669,Adonai/Heer van de eeuwigheid
670,Op Hem rust mijn geloof
671,Lof, aanbidding/U schiep zon en maan en sterrenpracht
672,Heerser over alle dingen
673,Heer van de hemelse machten
674,Zie de stroom van Jezus' liefde
675,Al wat leeft/Vader, ik kom in uw heiligdom binnen
676,Welkom in ons midden, Jezus
677,In het diepst van de nacht
678,God van het licht
679,Hij is hier, Hij is bij ons
680,Mijn Redder/Iedereen zoekt naar liefde
681,Hosanna, Hosanna/Ik zie de grote Koning
682,U, de Leeuw van Juda
683,Stap voor stap / Voor eeuwig zingen wij/Heer, U bent mijn God
684,Adembenemend/Uw majesteit is onaantastbaar
685,Hosanna/Met ons lied, Heer
686,God is hier/Uw nabijheid vernieuwt en geneest
687,Heer, wijs mij uw weg
688,Genade zo groot
689,Spreek, o Heer
690,Hij leeft voor eeuwig, amen/Zing het overal
691,Heb de Heer, je God, lief
692,U bent mijn schild//Mijn Heer zal ik altijd prijzen
693,Vaste grond/God, voor U is niets onmogelijk
694,Ik bouw op Jezus, anders niet
695,Stil/Verberg mij nu
696,Onvoorstelbaar, ontzagwekkend
697,Al wat ik ben / Jezus, ik geloof in U
698,Nooit meer alleen/Ook al gaat mijn weg
699,Ik weet: Hij leeft/Wij hebben hoop die zeker is
700,Een nieuwe dag/Kom zing een nieuw lied
701,Hoor de roep van de Koning
702,De God die eeuwig leeft/Er is kracht voor wie hopen op de Heer
703,Zoals een hinde smacht
704,O kerk, sta op
705,Toon mijn liefde/Aan de maaltijd wordt het stil
706,Zie hoe Jezus lijdt voor mij
707,Met diep ontzag/U bent mooier dan ik kan omschrijven
708,Hoe groot is uw trouw, o Heer/Kom, zing voor de Heer
709,De hemel vertelt van Gods heerlijkheid
710,Gebed om zegen/Zegen mij op de weg die ik moet gaan
711,Zijn trouw kleurt de morgen/Zijn trouw houdt mensen op de been
712,Zing voor de Heer
713,Als U het huis niet bouwt/Alles wat ik ben behoort U toe
714,Uw liefde laat nooit los/Al laat de zon zich niet meer zien
715,Wat hou ik van uw huis
716,Wanneer?/Heer, wij kwamen voor U juichen
717,Stil, mijn ziel, wees stil
718,Heilig, heilig, heilig bent U, Heer
719,Onbeschrijfelijk/Van de machtigste berg tot het diepst van de zee
720,God maakt vrij/In de naam van de Vader
721,Heerser over al wat leeft
722,Dat is genade!/Heer, ik dank U voor wat U heeft gedaan
723,Kom, volk van de verrezen Heer
724,Vandaag is de dag/Wat door mijn gedachten gaat
725,Geweldige God/Staar ik in de nacht
726,Anker in de tijd/Er is een onbegrensde liefde
727,Ik val niet uit zijn hand/Mijn God, ik kom naar U, dan ben ik veilig
728,Herstel, o Heer
729,Hij is erbij/Soms brengt God de storm tot stilte
730,Ik herleef/Deze vrede leeft in mij
731,Halleluja Adonai/Jezus, ik hou van U
732,Wat een wonder dat ik meewerken mag
733,Tienduizend redenen/De zon komt op, maakt de morgen wakker
734,God, ik adem om van U te zingen
735,Wie vertrouwen op de Heer
736,In deze gemeente, Gods huisgezin
737,U nodigt mij aan tafel
738,Als ik huil/ Ik kom bij U
739,Sta op -een gebed om ontferming/ U Heer, U hoort
740,Ik bid dat God jou zegent
741,Als een vuur van binnen
742,Dit is het Lam, dat onze zonden draagt
743,Jezus, ik kom naar U
744,Vrede voor Jeruzalem /Jeruzalem, de stad van trouw
745,Hoe lang/ Hoort U boven onze stemmen uit
746,De God van de vrede
747,Wij geloven in een keerpunt in de tijd
748,God zegent ons/Heer, zegen ons met onverdiende liefde
749,Hoe kan ik anders/Hoor, hoe een eeuwig lied
750,Eer en glorie/Elohim, de Schepper God
751,Ik zie het kruis
752,Geef God alle eer
753,Symfonie/Nu ik bij U kom in uw heiligdom
754,Kom o Heilige Geest/Heilige Geest van God, adem in ons midden
